,genename,offtarget,# match within CDS,CDS,Gene,RNAseq,platename,Pos.Nr,Position,right size,no band,too big,too small,schmier
937,Cre12.g505750,0.0,1.0,['354'],['354'],['354'],P1kCre11,45.0,E6,1.0,,,,
938,Cre12.g508750,0.0,1.0,['738'],['1833'],"['738', '738', '738']",P1kCre15,5.0,E1,1.0,,,,
939,Cre12.g517600,0.0,1.0,['924'],['1904'],"['924', '924', '924', '924', '924', '924', '924', '924']",P1kCre17,9.0,A2,1.0,,,,
940,Cre12.g542850,0.0,1.0,['615'],['1940'],['615'],P1kCre13,40.0,H5,1.0,,,,
941,Cre12.g492300,0.0,1.0,['492'],[],"['492', '492', '492']",P1kCre11,91.0,C12,1.0,,,,
942,Cre12.g531100,0.0,1.0,['723'],['1635'],"['723', '723', '723']",P1kCre19,73.0,A10,1.0,,,,
943,Cre12.g531550,0.0,1.0,['828'],[],"['921', '828']",P1kCre21,14.0,F2,0.0,1.0,,,
944,Cre12.g545900,0.0,1.0,['486'],['1745'],[],P1kCre11,88.0,H11,0.0,0.0,1.0,,
945,Cre12.g547950,0.0,1.0,['588'],['965'],"['588', '588']",P1kCre19,29.0,E4,1.0,,,,
946,Cre12.g517100,0.0,1.0,['783'],[],['783'],P1kCre15,28.0,D4,1.0,,,,
947,Cre12.g544900,0.0,1.0,['852'],['2987'],[],P1kCre15,64.0,H8,1.0,,,,
948,Cre12.g524200,0.0,1.0,['606'],['1868'],"['606', '606']",P1kCre19,33.0,A5,1.0,,,,
949,Cre12.g543450,0.0,1.0,['390'],['390'],"['390', '536', '390', '704', '390']",P1kCre11,55.0,G7,1.0,,,,
950,Cre12.g559800,0.0,1.0,['450'],['2191'],['450'],P1kCre11,78.0,F10,1.0,,,,
951,Cre12.g496650,0.0,1.0,['849'],['849'],['849'],P1kCre21,20.0,D3,1.0,,,,
952,Cre12.g513000,0.0,1.0,['951'],['1898'],[],P1kCre17,20.0,D3,0.0,1.0,,,
953,Cre12.g524900,0.0,1.0,['777'],['1426'],"['938', '777']",P1kCre15,23.0,G3,1.0,,1.0,,
954,Cre12.g486100,0.0,1.0,['768'],['2730'],['768'],P1kCre15,19.0,C3,1.0,,,,
955,Cre12.g533650,0.0,1.0,['909'],['1739'],"['909', '909']",P1kCre15,93.0,E12,1.0,,,,
956,Cre12.g554700,0.0,1.0,['657'],['1779'],['657'],P1kCre13,55.0,G7,1.0,,,,
957,Cre12.g515650,0.0,1.0,['657'],['1808'],"['657', '657']",P1kCre13,54.0,F7,0.0,1.0,,,
958,Cre12.g560950,0.0,1.0,['378'],['1161'],"['378', '378']",P1kCre17,73.0,A10,1.0,,,,
959,Cre12.g517350,0.0,1.0,['531'],['1154'],['531'],P1kCre13,5.0,E1,1.0,,,,
960,Cre12.g528550,0.0,1.0,['819'],['2036'],['819'],P1kCre15,46.0,F6,1.0,,,,
961,Cre12.g508300,0.0,1.0,['462'],['933'],"['438', '462', '462', '462', '1669', '462']",P1kCre11,80.0,H10,1.0,,,,
962,Cre12.g545600,0.0,1.0,['663'],['1604'],"['663', '653', '663', '663']",P1kCre19,53.0,E7,1.0,,,,
963,Cre12.g494900,0.0,1.0,['921'],['3755'],['921'],P1kCre17,5.0,E1,0.0,1.0,,,
964,Cre12.g549450,0.0,1.0,['627'],['2185'],"['627', '627', '627']",P1kCre19,43.0,C6,0.0,1.0,,,
965,Cre12.g529100,0.0,1.0,['615'],['1193'],"['615', '615']",P1kCre13,39.0,G5,1.0,,,,
966,Cre12.g510034,0.0,1.0,['711'],['1714'],"['901', '711']",P1kCre19,70.0,F9,1.0,,,,
967,Cre12.g557800,0.0,1.0,['375'],['1206'],['375'],P1kCre17,70.0,F9,1.0,,,,
968,Cre12.g527850,0.0,1.0,['873'],['3128'],"['873', '873', '873', '894', '1082']",P1kCre15,77.0,E10,1.0,,,,
969,Cre12.g518700,0.0,1.0,['780'],['1611'],['780'],P1kCre15,26.0,B4,1.0,,,,
970,Cre12.g554850,0.0,1.0,['456'],['1855'],['456'],P1kCre17,85.0,E11,1.0,,,,
971,Cre12.g499900,0.0,1.0,['564'],['2216'],"['516', '564', '924', '564']",P1kCre13,17.0,A3,1.0,,,,
972,Cre12.g485850,0.0,1.0,['558'],['1856'],"['558', '558', '558']",P1kCre13,12.0,D2,1.0,,,,
973,Cre12.g555850,0.0,1.0,['501'],['1393'],['501'],P1kCre17,92.0,D12,1.0,,,,
974,Cre12.g506851,0.0,1.0,['360'],['1504'],['360'],P1kCre11,46.0,F6,1.0,,,,
975,Cre12.g496700,0.0,1.0,['558'],['1068'],['558'],P1kCre13,13.0,E2,1.0,,,,
976,Cre12.g517550,0.0,1.0,['519'],['1118'],"['680', '680', '519', '519', '680', '519', '680', '519', '519', '519']",P1kCre13,3.0,C1,1.0,,,,
977,Cre12.g511900,0.0,1.0,['795'],['2030'],"['795', '795', '795', '795']",P1kCre15,34.0,B5,1.0,,,,
978,Cre12.g527800,0.0,1.0,['309'],['671'],"['309', '309', '309']",P1kCre11,32.0,H4,0.0,1.0,,,
979,Cre12.g513750,0.0,1.0,['318'],['1038'],"['318', '318', '318', '318', '318', '318']",P1kCre11,35.0,C5,1.0,,,,
980,Cre12.g487900,0.0,1.0,['303'],['828'],"['322', '322', '322']",P1kCre11,31.0,G4,1.0,,,,
981,Cre12.g524350,0.0,1.0,['846'],[],[],P1kCre15,62.0,F8,1.0,,,,
982,Cre12.g529200,0.0,1.0,['648'],['1100'],"['648', '648', '648']",P1kCre13,52.0,D7,0.0,1.0,,,
983,Cre12.g494800,0.0,1.0,['579'],[],[],P1kCre19,26.0,B4,1.0,,,,
984,Cre12.g554953,0.0,1.0,['831'],['3123'],[],P1kCre21,16.0,H2,0.0,1.0,,,1.0
985,Cre12.g503550,0.0,1.0,['621'],['1658'],"['621', '621']",P1kCre13,44.0,D6,1.0,,,,
986,Cre12.g520500,0.0,1.0,['960'],['1635'],"['960', '960', '960', '960']",P1kCre17,24.0,H3,1.0,,,,
987,Cre12.g501000,0.0,1.0,['906'],['1976'],['906'],P1kCre15,89.0,A12,1.0,,,,
988,Cre12.g510850,0.0,1.0,['837'],['1884'],['837'],P1kCre15,56.0,H7,1.0,,,,
989,Cre12.g557750,0.0,1.0,['993'],['2779'],[],P1kCre17,45.0,E6,0.0,1.0,,,
990,Cre12.g510400,0.0,1.0,['696'],['1898'],['696'],P1kCre13,78.0,F10,1.0,,,,
991,Cre12.g550700,0.0,1.0,['897'],['897'],['897'],P1kCre15,85.0,E11,0.0,1.0,,,
992,Cre12.g542202,0.0,1.0,['975'],['2582'],"['975', '975']",P1kCre17,34.0,B5,1.0,,,,
993,Cre12.g515200,0.0,1.0,['780'],['1486'],"['780', '780']",P1kCre15,25.0,A4,1.0,,,,
994,Cre12.g555150,0.0,1.0,['465'],['1231'],"['465', '465', '465']",P1kCre17,86.0,F11,1.0,,,,
995,Cre12.g546200,0.0,1.0,['717'],[],[],P1kCre13,91.0,C12,0.0,0.0,,1.0,
996,Cre12.g528500,0.0,1.0,['555'],['1783'],"['555', '666']",P1kCre19,14.0,F2,1.0,,,,
997,Cre12.g547100,0.0,1.0,['879'],['2794'],[],P1kCre15,80.0,H10,0.0,1.0,,,
998,Cre12.g548400,1.0,1.0,['747'],['1441'],"['747', '747']",P1kCre15,8.0,H1,1.0,,,,
999,Cre12.g501200,0.0,1.0,['471'],['822'],['471'],P1kCre11,82.0,B11,1.0,,,,
1000,Cre12.g489800,0.0,1.0,['738'],['1685'],[],P1kCre19,79.0,G10,0.0,1.0,,,
1001,Cre12.g548950,1.0,1.0,['747'],['1370'],"['747', '747']",P1kCre15,9.0,A2,1.0,,,,
1002,Cre12.g497650,0.0,1.0,['867'],['1936'],"['867', '867', '1171', '867', '867', '867', '867']",P1kCre15,72.0,H9,1.0,,,,
1003,Cre12.g496750,0.0,1.0,['693'],['1945'],"['693', '693']",P1kCre13,75.0,C10,1.0,,,,
1004,Cre08.g368550,0.0,1.0,['954'],['2488'],['954'],P1kCre27,56.0,H7,,,,,
1005,Cre08.g382350,0.0,1.0,['1266'],['3365'],['1266'],P2kCre29,72.0,H9,1.0,,,,
1006,Cre08.g378100,0.0,1.0,['474'],['1119'],['474'],P1kCre21,94.0,F12,0.0,1.0,,,
1007,Cre08.g369300,0.0,1.0,['984'],['4581'],['984'],P1kCre21,64.0,H8,1.0,,,,
1008,Cre08.g358540,0.0,1.0,['741'],['1803'],"['732', '732', '732', '732']",P1kCre23,48.0,H6,1.0,,,,
1009,Cre08.g385750,0.0,1.0,['684'],['773'],['684'],P1kCre25,39.0,G5,0.0,,1.0,,
1010,Cre08.g378250,0.0,1.0,['915'],['4943'],['912'],P1kCre21,45.0,E6,1.0,,,,
1011,Cre08.g368700,0.0,1.0,['1551'],['3963'],['1551'],P2kCre31,25.0,A4,1.0,,,,
1012,Cre08.g379650,0.0,1.0,['777'],['2426'],['777'],P1kCre25,48.0,H6,1.0,,,,
1013,Cre08.g371400,0.0,1.0,['909'],"['3945', '4008', '4039']",[],P1kCre27,8.0,H1,,,,,
1014,Cre08.g361650,0.0,1.0,['1692'],['4419'],[],P2kCre31,44.0,D6,1.0,,,,
1015,Cre08.g373346,0.0,1.0,['1278'],['1559'],"['1393', '1278', '1342', '1451', '1387', '1400', '1329', '1336', '1396', '1329', '1278', '1243']",P2kCre29,14.0,F2,1.0,,,,
1016,Cre08.g362700,0.0,1.0,['960'],['1894'],['960'],P1kCre25,4.0,D1,1.0,,,,
1017,Cre08.g372850,0.0,1.0,['681'],['2082'],['681'],P1kCre23,36.0,D5,1.0,,,,
1018,Cre08.g368050,0.0,1.0,['654'],['1456'],['654'],P1kCre23,30.0,F4,1.0,,,,
1019,Cre08.g371650,0.0,1.0,['759'],['2936'],[],P1kCre23,52.0,D7,0.0,1.0,,,
1020,Cre08.g374350,0.0,1.0,['378'],['1220'],"['378', '378', '378']",P1kCre21,83.0,C11,1.0,,,,
1021,Cre08.g372450,0.0,1.0,['597'],['1168'],"['597', '597']",P1kCre23,24.0,H3,1.0,,,,
1022,Cre08.g378800,0.0,1.0,['630'],['1205'],['630'],P1kCre25,35.0,C5,1.0,,,,
1023,Cre08.g381800,0.0,1.0,['600'],['2566'],"['600', '1148', '486']",P1kCre27,47.0,G6,,,,,
1024,Cre08.g376450,0.0,1.0,['423'],['1555'],['423'],P1kCre21,88.0,H11,0.0,1.0,,,
1025,Cre08.g380250,0.0,1.0,['393'],[],[],P1kCre21,84.0,D11,0.0,1.0,,,
1026,Cre08.g362600,0.0,1.0,['1956'],['5211'],[],P2kCre29,24.0,H3,1.0,,,,
1027,Cre08.g361050,0.0,1.0,['915'],['2093'],['915'],P1kCre23,89.0,A12,0.0,1.0,,,
1028,Cre07.g334200,0.0,1.0,['1932'],['5857'],"['1932', '1932']",P2kCre31,69.0,E9,0.0,1.0,,,
1029,Cre07.g312750,0.0,1.0,['594'],['1445'],"['594', '594']",P1kCre25,82.0,B11,0.0,1.0,,,
1030,Cre07.g355700,0.0,1.0,['1929'],['4121'],[],P2kCre31,68.0,D9,0.0,,,1.0,
1031,Cre07.g325650,0.0,1.0,['555'],['1267'],['555'],P1kCre23,17.0,A3,1.0,,,,
1032,Cre07.g343466,0.0,1.0,['1662'],['1844'],[],P2kCre31,40.0,H5,0.0,1.0,,,
1033,Cre07.g325725,0.0,1.0,['975'],['2523'],[],P1kCre27,43.0,C6,,,,,
1034,Cre07.g327400,0.0,1.0,['846'],['1166'],"['846', '846']",P1kCre23,67.0,C9,1.0,,,,
1035,Cre07.g347100,0.0,1.0,['846'],['2469'],['846'],P1kCre23,68.0,D9,1.0,,,,
1036,Cre07.g331500,0.0,1.0,['1245'],[],['1245'],P2kCre29,69.0,E9,1.0,,,,
1037,Cre07.g334400,0.0,1.0,['1755'],['3394'],[],P2kCre31,51.0,C7,1.0,,,,
1038,Cre07.g315750,0.0,1.0,['801'],['3355'],"['801', '801', '801']",P1kCre23,58.0,B8,1.0,,,,
1039,Cre07.g329050,0.0,1.0,['1716'],[],[],P2kCre31,46.0,F6,0.0,1.0,,,
1040,Cre07.g318800,0.0,1.0,['471'],['975'],['471'],P1kCre21,93.0,E12,0.0,1.0,,,
1041,Cre07.g323550,0.0,1.0,['1620'],['4164'],[],P2kCre29,20.0,D3,1.0,,,,
1042,Cre07.g340900,0.0,1.0,['888'],['3902'],['888'],P1kCre23,83.0,C11,0.0,1.0,,,
1043,Cre07.g336000,0.0,1.0,['726'],['1746'],['726'],P1kCre23,45.0,E6,1.0,,,,
1044,Cre07.g348900,0.0,1.0,['1446'],['2829'],[],P2kCre29,16.0,H2,1.0,,,,
1045,Cre07.g355850,0.0,1.0,['381'],['792'],['381'],P1kCre25,73.0,A10,1.0,,,,
1046,Cre07.g325600,0.0,1.0,['483'],['1061'],['483'],P1kCre21,96.0,H12,1.0,,,,
1047,Cre07.g340750,0.0,1.0,['666'],['2929'],['666'],P1kCre25,36.0,D5,1.0,,,,
1048,Cre07.g350050,0.0,1.0,['1485'],['2948'],[],P2kCre31,14.0,F2,0.0,0.0,,1.0,
1049,Cre07.g313185,0.0,1.0,['420'],['1103'],"['420', '420', '420']",P1kCre21,87.0,G11,0.0,1.0,,,
1050,Cre07.g352300,0.0,1.0,['1113'],['2946'],[],P2kCre29,44.0,D6,1.0,,,,
1051,Cre07.g314950,0.0,1.0,['855'],['4203'],"['855', '855', '934', '855', '855']",P1kCre23,74.0,B10,1.0,,,,
1052,Cre07.g318750,0.0,1.0,['1119'],['2585'],['1119'],P2kCre29,46.0,F6,1.0,,,,
1053,Cre07.g313250,0.0,1.0,['1863'],['4703'],['1863'],P2kCre31,59.0,C8,1.0,,,,
1054,Cre07.g334600,0.0,1.0,['246'],['246'],"['246', '246']",P1kCre25,11.0,C2,1.0,,,,
1055,Cre07.g332650,0.0,1.0,['1707'],['5358'],[],P2kCre31,45.0,E6,0.0,,,1.0,
1056,Cre07.g344250,0.0,1.0,['966'],['1246'],[],P1kCre25,5.0,E1,1.0,,,,
1057,Cre07.g354250,0.0,1.0,['1524'],['4385'],"['1308', '1524']",P2kCre31,23.0,G3,1.0,,,,
1058,Cre07.g347250,0.0,1.0,['1140'],[],[],P2kCre29,51.0,C7,1.0,,,,
1059,Cre07.g349600,0.0,1.0,['564'],['1406'],['564'],P1kCre25,31.0,G4,1.0,,,,
1060,Cre07.g324050,0.0,1.0,['2208'],[],['2208'],P2kCre29,27.0,C4,1.0,,,,
1061,Cre07.g313550,0.0,1.0,['885'],['3324'],['885'],P1kCre27,71.0,G9,,,,,
1062,Cre07.g350400,0.0,1.0,['591'],['1448'],[],P1kCre25,81.0,A11,0.0,1.0,,,
1063,Cre07.g316050,0.0,1.0,['987'],['2777'],['987'],P1kCre25,8.0,H1,1.0,,,,
1064,Cre07.g339150,0.0,1.0,['1731'],['6219'],"['1731', '1731', '1731', '1731', '1731']",P2kCre31,48.0,H6,0.0,,,1.0,
1065,Cre07.g339300,0.0,1.0,['879'],['2196'],['879'],P1kCre23,81.0,A11,1.0,,,,
1066,Cre07.g330250,0.0,1.0,['390'],['1159'],"['390', '390', '390']",P1kCre27,19.0,C3,,,,,
1067,Cre11.g467743,0.0,1.0,['897'],['1774'],[],P1kCre23,87.0,G11,0.0,,1.0,,
1068,Cre11.g467718,1.0,1.0,['954'],['2492'],['954'],P1kCre25,62.0,F8,1.0,,,,
1069,Cre11.g478650,0.0,1.0,['1656'],['5072'],[],P2kCre31,36.0,D5,0.0,1.0,,,
1070,Cre11.g467796,0.0,1.0,['444'],['554'],[],P1kCre25,18.0,B3,0.0,1.0,,,
1071,Cre11.g477200,0.0,1.0,['900'],['3961'],[],P1kCre21,41.0,A6,1.0,,,1.0,
1072,Cre11.g469400,0.0,1.0,['705'],['705'],[],P1kCre23,42.0,B6,1.0,,,,
1073,Cre11.g467569,0.0,1.0,['657'],[],['657'],P1kCre23,32.0,H4,0.0,1.0,,,
1074,Cre11.g476150,0.0,1.0,['951'],['3321'],['951'],P1kCre21,54.0,F7,1.0,,,,
1075,Cre11.g467350,0.0,1.0,['2049'],['7223'],[],P2kCre31,78.0,F10,1.0,,,,
1076,Cre14.g617550,0.0,1.0,['552'],['552'],['552'],P1kCre25,78.0,F10,0.0,1.0,,,
1077,Cre14.g615100,0.0,1.0,['420'],['1554'],['420'],P1kCre25,75.0,C10,1.0,,,,
1078,Cre14.g623439,0.0,1.0,['1416'],[],[],P2kCre31,7.0,G1,1.0,,,,
1079,Cre14.g623439,0.0,1.0,['1416'],"['4089', '4089']","['1436', '1436', '1481', '1481', '1461', '1461', '1416', '1416']",P2kCre31,7.0,G1,1.0,,,,
1080,Cre14.g630376,0.0,1.0,['321'],['321'],['321'],P1kCre25,71.0,G9,1.0,,,,
1081,Cre14.g619300,0.0,1.0,['558'],['3889'],"['525', '558']",P1kCre23,18.0,B3,1.0,,,,
1082,Cre14.g616900,0.0,1.0,['840'],"['3751', '3815']","['840', '904', '1031', '967']",P1kCre27,2.0,B1,,,,,
1083,Cre14.g613900,0.0,1.0,['1152'],['3481'],[],P2kCre29,11.0,C2,1.0,,,,
1084,Cre14.g615850,0.0,1.0,['699'],['1440'],"['739', '699']",P1kCre23,41.0,A6,1.0,,,,
1085,Cre14.g615550,0.0,1.0,['1284'],['3519'],[],P2kCre29,77.0,E10,1.0,,,,
1086,Cre14.g613550,0.0,1.0,['864'],[],[],P1kCre23,77.0,E10,0.0,1.0,,,
1087,Cre14.g623650,0.0,1.0,['1185'],['3398'],['1185'],P2kCre29,58.0,B8,0.0,1.0,,,
1088,Cre14.g615400,0.0,1.0,['408'],['1210'],['408'],P1kCre27,45.0,E6,,,,,
1089,Cre14.g628500,0.0,1.0,['1185'],['2415'],[],P2kCre29,59.0,C8,0.0,0.0,,1.0,
1090,Cre14.g632767,0.0,1.0,['837'],['3192'],"['837', '837']",P1kCre23,64.0,H8,1.0,,,,
1091,Cre14.g626200,0.0,1.0,['831'],['4265'],['819'],P1kCre25,50.0,B7,0.0,1.0,,,
1092,Cre16.g652450,0.0,1.0,['606'],['1718'],['606'],P1kCre25,84.0,D11,0.0,0.0,1.0,,
1093,Cre16.g673169,0.0,1.0,['990'],['2515'],['990'],P1kCre27,66.0,B9,,,,,
1094,Cre16.g679500,0.0,1.0,['303'],[],['303'],P1kCre21,74.0,B10,1.0,,,,
1095,Cre16.g672400,0.0,1.0,['1503'],['2411'],[],P2kCre31,17.0,A3,1.0,,,1.0,
1096,Cre16.g650950,0.0,1.0,['654'],[],"['654', '654']",P1kCre23,31.0,G4,0.0,1.0,,,
1097,Cre16.g690150,0.0,1.0,['1809'],['4190'],[],P2kCre29,21.0,E3,1.0,,,,
1098,Cre16.g675637,0.0,1.0,['282'],['743'],"['282', '282']",P1kCre27,17.0,A3,,,,,
1099,Cre16.g695600,0.0,1.0,['1413'],['2314'],"['1413', '1413']",P2kCre31,2.0,B1,1.0,,,,
1100,Cre16.g686002,0.0,1.0,['888'],['1095'],[],P1kCre23,84.0,D11,1.0,,,,
1101,Cre16.g679550,0.0,1.0,['996'],[],[],P1kCre21,69.0,E9,1.0,,,,
1102,Cre16.g684850,0.0,1.0,['945'],[],"['945', '945']",P1kCre25,3.0,C1,0.0,1.0,,,
1103,Cre16.g655100,0.0,1.0,['891'],['2464'],"['850', '882']",P1kCre27,7.0,G1,,,,,
1104,Cre16.g687650,0.0,1.0,['549'],['1938'],['549'],P1kCre23,16.0,H2,0.0,1.0,,,
1105,Cre16.g662902,0.0,1.0,['1695'],['4905'],[],P2kCre29,3.0,C1,1.0,,,,
1106,Cre16.g679333,0.0,1.0,['690'],['2410'],[],P1kCre23,38.0,F5,0.0,1.0,,,
1107,Cre16.g683950,0.0,1.0,['2061'],['3821'],['2061'],P2kCre31,83.0,C11,1.0,,,,
1108,Cre16.g687630,0.0,1.0,['1167'],['1339'],[],P2kCre29,55.0,G7,1.0,,,,
1109,Cre16.g683483,0.0,1.0,['915'],['2016'],[],P1kCre25,59.0,C8,1.0,,,,
1110,Cre16.g687950,0.0,1.0,['1089'],['2677'],['1089'],P2kCre29,7.0,G1,1.0,,,,
1111,Cre16.g667850,0.0,1.0,['522'],['880'],['522'],P1kCre25,25.0,A4,1.0,,,,
1112,Cre16.g654500,0.0,1.0,['873'],['2539'],['873'],P1kCre23,79.0,G10,1.0,,,,
1113,Cre16.g652850,0.0,1.0,['1017'],['3336'],['1017'],P2kCre29,5.0,E1,1.0,,,,
1114,Cre16.g688302,0.0,1.0,['984'],['1992'],"['984', '984']",P1kCre21,65.0,A9,1.0,,,,
1115,Cre16.g663500,0.0,1.0,['1158'],['1973'],[],P2kCre29,12.0,D2,1.0,,,,
1116,Cre16.g658450,0.0,1.0,['915'],['2577'],[],P1kCre27,10.0,B2,,,,,
1117,Cre16.g670750,0.0,1.0,['732'],['3144'],[],P1kCre25,44.0,D6,1.0,,1.0,,
1118,Cre16.g648700,0.0,1.0,['1926'],['8875'],[],P2kCre31,67.0,C9,0.0,1.0,,,
1119,Cre16.g676085,0.0,1.0,['1509'],['4479'],[],P2kCre31,21.0,E3,1.0,,,,
1120,Cre16.g669650,0.0,1.0,['510'],['1029'],['510'],P1kCre25,23.0,G3,1.0,,,,
1121,Cre16.g694202,0.0,1.0,['723'],['3115'],['723'],P1kCre25,93.0,E12,1.0,,,,
1122,Cre16.g666500,0.0,1.0,['1683'],['3610'],['1683'],P2kCre31,42.0,B6,0.0,,,1.0,
1123,Cre16.g672300,0.0,1.0,['618'],['1095'],['618'],P1kCre27,28.0,D4,,,,,
1124,Cre16.g673900,0.0,1.0,['1974'],['7009'],[],P2kCre31,71.0,G9,1.0,,,,
1125,Cre16.g664500,0.0,1.0,['540'],['1608'],"['540', '540', '540']",P1kCre23,13.0,E2,1.0,,,,
1126,Cre16.g684550,1.0,1.0,['522'],['832'],"['522', '519', '519']",P1kCre25,26.0,B4,1.0,,,,
1127,Cre16.g674627,0.0,1.0,['600'],['1531'],['600'],P1kCre23,25.0,A4,1.0,,,,
1128,Cre16.g657000,0.0,1.0,['462'],['1313'],['462'],P1kCre27,69.0,E9,,,,,
1129,Cre16.g675301,0.0,1.0,['1008'],['2044'],['1008'],P2kCre29,28.0,D4,0.0,0.0,,1.0,
1130,Cre16.g685050,0.0,1.0,['948'],['1999'],['948'],P1kCre21,53.0,E7,1.0,,,,
1131,Cre16.g689600,0.0,1.0,['924'],['1887'],['924'],P1kCre21,47.0,G6,1.0,,,1.0,
1132,Cre16.g692800,0.0,1.0,['822'],['3188'],"['822', '822']",P1kCre25,49.0,A7,1.0,,,,
1133,Cre16.g677300,0.0,1.0,['2037'],['4641'],[],P2kCre31,77.0,E10,0.0,1.0,,,
1134,Cre16.g692050,0.0,1.0,['1017'],['1424'],['1017'],P2kCre29,32.0,H4,0.0,1.0,,,
1135,Cre36.g759647,0.0,1.0,['1281'],['6932'],"['1281', '1281']",P2kCre29,74.0,B10,1.0,,,,
1136,Cre19.g750547,0.0,1.0,['1905'],['9265'],['1854'],P2kCre31,64.0,H8,1.0,,,,
1137,Cre06.g271800,0.0,1.0,['747'],['3389'],"['747', '1193', '884']",P1kCre27,52.0,D7,,,,,
1138,Cre06.g255950,0.0,1.0,['1941'],['3907'],[],P2kCre31,70.0,F9,0.0,,,,1.0
1139,Cre06.g269450,0.0,1.0,['849'],['2208'],['849'],P1kCre23,71.0,G9,0.0,1.0,,,
1140,Cre06.g278162,0.0,1.0,['1329'],['2154'],[],P2kCre29,84.0,D11,0.0,1.0,,,
1141,Cre06.g303650,0.0,1.0,['1920'],['5886'],['1920'],P2kCre29,23.0,G3,1.0,,,,
1142,Cre06.g283550,0.0,1.0,['504'],['1519'],"['504', '504']",P1kCre23,4.0,D1,1.0,,,,
1143,Cre06.g278086,0.0,1.0,['351'],['1678'],"['351', '351', '351']",P1kCre25,12.0,D2,1.0,,,,
1144,Cre06.g308250,0.0,1.0,['783'],['3172'],['783'],P1kCre27,33.0,A5,,,,,
1145,Cre06.g251500,0.0,1.0,['942'],['3097'],['942'],P1kCre25-26,1.0,A1,1.0,,,,
1146,Cre06.g279300,0.0,1.0,['1416'],['2898'],"['1416', '1689', '1515']",P2kCre31,3.0,C1,1.0,,,,
1147,Cre06.g278222,0.0,1.0,['954'],['1795'],"['954', '954']",P1kCre21,55.0,G7,1.0,,,,
1148,Cre06.g307950,0.0,1.0,['912'],['2220'],['912'],P1kCre27,40.0,H5,,,,,
1149,Cre06.g311800,0.0,1.0,['1125'],['1334'],['1125'],P2kCre29,48.0,H6,1.0,,1.0,,
1150,Cre06.g258600,0.0,1.0,['1020'],['2722'],"['942', '879']",P2kCre29,6.0,F1,0.0,1.0,,,
1151,Cre06.g297600,0.0,1.0,['522'],['1093'],['522'],P1kCre27,23.0,G3,,,,,
1152,Cre06.g301725,0.0,1.0,['225'],['399'],[],P1kCre27,44.0,D6,,,,,
1153,Cre06.g305500,0.0,1.0,['669'],[],[],P1kCre25,37.0,E5,1.0,,1.0,,
1154,Cre06.g278256,0.0,1.0,['990'],['3814'],"['990', '990']",P1kCre25,9.0,A2,1.0,,,,
1155,Cre06.g271050,0.0,1.0,['972'],['3585'],['972'],P1kCre27,14.0,F2,,,,,
1156,Cre06.g304400,0.0,1.0,['1017'],['5486'],['1017'],P2kCre29,31.0,G4,1.0,,,,
1157,Cre06.g261000,0.0,1.0,['423'],['1171'],"['423', '423', '502', '423']",P1kCre25,17.0,A3,0.0,1.0,,,
1158,Cre06.g273450,0.0,1.0,['1140'],['2265'],['1140'],P2kCre29,10.0,B2,1.0,,,,
1159,Cre06.g272200,0.0,1.0,['627'],['1332'],"['627', '457']",P1kCre25,86.0,F11,0.0,1.0,,,
1160,Cre06.g288400,0.0,1.0,['699'],['1566'],[],P1kCre23,40.0,H5,1.0,,,,
1161,Cre06.g246958,0.0,1.0,['849'],['1399'],"['1399', '1399']",P1kCre23,70.0,F9,0.0,,1.0,,
1162,Cre06.g264200,0.0,1.0,['873'],['2644'],['873'],P1kCre23,78.0,F10,1.0,,,,
1163,Cre06.g292800,0.0,1.0,['465'],['1127'],['465'],P1kCre25,19.0,C3,1.0,,,,
1164,Cre06.g295250,0.0,1.0,['912'],['2400'],['912'],P1kCre27,9.0,A2,,,,,
1165,Cre06.g273000,0.0,1.0,['396'],['1578'],"['396', '396', '557']",P1kCre25,74.0,B10,1.0,,,,
1166,Cre06.g264350,0.0,1.0,['675'],['1683'],"['675', '675', '675', '675']",P1kCre25,88.0,H11,1.0,,,,
1167,Cre06.g279000,0.0,1.0,['705'],['1503'],"['705', '705']",P1kCre27,51.0,C7,,,,,
1168,Cre06.g261200,0.0,1.0,['921'],['3385'],"['921', '921']",P1kCre21,46.0,F6,0.0,1.0,,,
1169,Cre06.g277000,0.0,1.0,['975'],['2734'],"['1310', '1310', '975', '975']",P1kCre21,62.0,F8,1.0,,,,
1170,Cre06.g282150,0.0,1.0,['630'],['1738'],"['630', '630']",P1kCre27,73.0,A10,,,,,
1171,Cre06.g252700,0.0,1.0,['861'],['2575'],"['861', '861']",P1kCre23,76.0,D10,1.0,,,,
1172,Cre06.g302650,0.0,1.0,['714'],['2860'],['714'],P1kCre23,43.0,C6,1.0,,,,
1173,Cre06.g283100,0.0,1.0,['591'],['1511'],"['591', '591']",P1kCre23,21.0,E3,1.0,,,,
1174,Cre06.g264050,0.0,1.0,['753'],['3620'],"['753', '753']",P1kCre23,49.0,A7,1.0,,,,
1175,Cre06.g278202,0.0,1.0,['930'],['2820'],[],P1kCre21,48.0,H6,1.0,,,,
1176,Cre06.g304750,0.0,1.0,['1620'],['1620'],[],P2kCre31,31.0,G4,0.0,1.0,,,
1177,Cre06.g278185,0.0,1.0,['1434'],['2534'],['1434'],P2kCre31,9.0,A2,1.0,,,,
